id,cityrank,city,state,averagesalary,mediahousingcost,medianrent,unemploymentrate
81,81,St Louis,Missouri,"$49,180 ","$157,725 ",$858 ,3.3
82,82,Sacramento,California,"$55,010 ","$389,858 ","$1,157 ",3.4
83,83,Tulsa,Oklahoma,"$45,260 ","$149,000 ",$804 ,3.3
84,84,Reading,Pennsylvania,"$46,100 ","$151,900 ",$885 ,4.6
85,85,Cleveland,Ohio,"$45,589 ","$132,516 ",$782 ,4
86,86,Springfield,Massachusetts,"$50,930 ","$199,650 ",$903 ,3.5
87,87,York,Pennsylvania,"$44,740 ","$164,258 ",$915 ,4
88,88,Little Rock,Arkansas,"$43,780 ","$147,150 ",$805 ,3.3
89,89,Birmingham,Alabama,"$47,300 ","$171,450 ",$831 ,2.4
90,90,New York,New York,"$63,079 ","$386,862 ","$1,345 ",3.7
91,91,Providence,Rhode Island,"$52,220 ","$228,804 ",$925 ,3.4
92,92,Detroit,Michigan,"$52,100 ","$156,508 ",$890 ,4
93,93,Allentown,Pennsylvania,"$46,920 ","$174,858 ",$990 ,4.6
94,94,Toledo,Ohio,"$44,180 ","$117,850 ",$710 ,4.4
95,95,New Haven,Connecticut,"$55,450 ","$204,475 ","$1,100 ",3.6
96,96,Lafayette,Louisianna,"$39,940 ","$165,500 ",$769 ,5
97,97,Youngstown,Ohio,"$41,360 ","$86,850 ",$652 ,5.8
98,98,Scranton,Pennsylvania,"$41,980 ","$100,600 ",$745 ,5.6
99,99,Daytona Beach,Florida,"$38,710 ","$192,817 ",$990 ,3.2
100,100,Baltimore,Maryland,"$56,400 ","$248,833 ","$1,220 ",3.4
101,101,Killeen,Texas,"$41,770 ","$155,500 ",$888 ,3.6
102,102,Philadelphia,Pennsylvania,"$54,940 ","$200,142 ","$1,075 ",4.3
103,103,Virginia Beach,Virginia,"$47,410 ","$220,275 ","$1,124 ",2.9
104,104,Chicago,Illinois,"$54,160 ","$221,983 ","$1,048 ",3.6
105,105,Corpus Christi,Texas,"$44,710 ",,$940 ,4.2
106,106,Albuquerque,New Mexico,"$46,400 ","$201,900 ",$850 ,4.5
107,107,Los Angeles,California,"$53,803 ","$526,214 ","$1,362 ",3.9
108,108,Beaumont,Texas,"$47,900 ",,$797 ,5.4
109,109,Baton Rouge,Louisianna,"$44,500 ","$179,350 ",$873 ,4.6
110,110,El Paso,Texas,"$38,610 ","$151,300 ",$789 ,3.8
111,111,Jackson,Mississippi,"$42,770 ",,$838 ,4.8
112,112,McAllen,Texas,"$36,380 ",,$699 ,6.4
113,113,Miami,Florida,"$46,860 ","$247,113 ","$1,232 ",2.7
114,114,New Orleans,Louisianna,"$43,310 ","$193,575 ",$947 ,4.6
115,115,Flint,Michigan,"$45,820 ","$121,900 ",$738 ,4.7
116,116,Brownsville,Texas,"$35,240 ",,$683 ,5.6
117,117,Salinas,California,"$48,290 ","$581,342 ","$1,338 ",5.7
118,118,Memphis,Tennessee,"$43,950 ","$151,900 ",$883 ,4.1
119,119,Fresno,California,"$45,510 ","$260,733 ",$931 ,6.9
120,120,Modesto,California,"$46,176 ","$289,168 ","$1,011 ",5.8
121,121,Mobile,Alabama,"$43,830 ","$126,976 ",$828 ,3.4
122,122,Shreveport,Louisianna,"$39,400 ",,$789 ,5.5
123,123,Stockton,California,"$46,770 ","$352,350 ","$1,100 ",5.7
124,124,Bakersfield,California,"$47,680 ","$226,908 ",$933 ,7.4
